TRIAL #,DATE,TIME,SITE,DURATION OF GROWTH (days),FEEDER #,TREATMENT,OBSERVER,# HUMM,# INSECT,FEEDER WT (g),FEED TEMP ,ENV TEMP ,NOTES,pH,OD_1,OD_2,OD_avg
2,26-Jun-17,6:40,Glide,0,1,cage,TH,0,0,1613,.,,,.,.,.,.
2,26-Jun-17,18:15,Glide,0,1,cage,TH,0,0,.,.,,light breeze,.,.,.,.
2,27-Jun-17,7:10,Glide,1,1,cage,TH,0,0,1611,58.1,,,4.25,0.0397,0.0376,0.03865
2,27-Jun-17,19:10,Glide,1,1,cage,CGL,0,0,.,.,,,.,.,.,.
2,28-Jun-17,6:37,Glide,2,1,cage,TH,0,0,1587,60.1,,,4.25,0.0371,0.037,0.03705
2,28-Jun-17,18:15,Glide,2,1,cage,TH,0,0,.,.,,,.,.,.,.
2,30-Jun-17,6:50,Glide,4,1,cage,TH,0,0,1561,57.6,,,4,0.0387,0.0385,0.0386
2,30-Jun-17,18:50,Glide,4,1,cage,TH,0,0,,.,,,.,.,.,.
2,3-Jul-17,6:00,Glide,7,1,cage,TH,.,.,1537,60.3,,"cloudy, wispy, mucus-like substance floating in water",3.75,0.0417,0.0402,0.04095
1,12-Jun-17,8:45,Rita,0,1,net,CGL,0,0,1553,.,,,.,.,.,.
1,12-Jun-17,18:15,Rita,0,1,net,CGL,0,0,.,.,,,.,.,.,.
3,10-Jul-17,7:10,Rita,0,1,net,CGL,0,0,1564,.,,1549g,.,.,.,.
3,10-Jul-17,19:30,Rita,0,1,net,CGL,0,0,.,.,.,.,.,.,.,.
3,10-Jul-17,19:30,Rita,0,1,net,CGL,0,0,.,.,.,.,.,.,.,.
1,13-Jun-17,7:15,Rita,1,1,net,CGL,0,0,1550,56.8,,,4.25,0.04,0.04,0.04
1,13-Jun-17,19:15,Rita,1,1,net,CGL,0,0,.,.,,,.,.,.,.
3,11-Jul-17,6:10,Rita,1,1,net,.,0,0,1555,59,.,,4.5,0.0343,0.0375,0.0359
3,11-Jul-17,17:32,Rita,1,1,net,TH,0,0,.,.,,,.,.,.,.
1,14-Jun-17,6:50,Rita,2,1,net,CGL,0,0,1530,60.1,,,4.5,0.043,0.049,0.046
1,14-Jun-17,18:05,Rita,2,1,net,CGL,0,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,1,net,TH,0,0,1533,60.3,,,4.25,0.0376,0.0385,0.03805
3,12-Jul-17,19:10,Rita,2,1,net,TH,0,0,.,.,,,.,.,.,.
1,15-Jun-17,7:30,Rita,3,1,net,CGL,0,0,1509,63,,,4,0.045,0.053,0.049
1,15-Jun-17,19:15,Rita,3,1,net,CGL,0,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,1,net,TH,0,0,1510,58.6,,,4.25,0.0401,0.0403,0.0402
3,14-Jul-17,18:30,Rita,4,1,net,TH,0,0,.,.,,,.,.,.,.
